expert_id,skills,current_workload
1,"Data Analysis, Artificial Intelligence, Big Data, NLP, Database Systems, Data Mining, IoT",0
2,"Network Security, Data Mining",0
3,"Data Visualization, Machine Learning, Artificial Intelligence, Data Mining, Computer Vision, Data Analysis",0
4,"Reinforcement Learning, Artificial Intelligence, Network Security, Computer Vision, Data Visualization, Data Analysis",0
5,"Business Intelligence, Big Data, Artificial Intelligence, Cybersecurity, Data Visualization",0
6,"Big Data, Cloud Computing, Computer Vision, Optimization",0
7,"Data Mining, Blockchain",0
8,"IoT, Reinforcement Learning",0
9,"Big Data, Machine Learning, Robotics, Data Analysis, Blockchain, Business Intelligence",0
10,"Software Engineering, IoT, Computer Vision, Data Mining, Machine Learning, Optimization",0
11,"Software Engineering, Data Mining, NLP",0
12,"Blockchain, Big Data",0
13,"IoT, Cybersecurity, Reinforcement Learning, Network Security, Computer Vision",0
14,"Big Data, Data Mining, Cybersecurity, NLP, Network Security, Database Systems, Computer Vision",0
15,"Network Security, NLP, Optimization, Machine Learning",0
16,"Machine Learning, Optimization, Blockchain",0
17,"Data Mining, Computer Vision, Optimization, Business Intelligence",0
18,"Deep Learning, Blockchain, Robotics, Cloud Computing, Big Data, Data Mining, Data Analysis",0
19,"Network Security, Reinforcement Learning, Big Data, Data Visualization, Blockchain, Cybersecurity, Data Analysis",0
20,"Database Systems, Deep Learning, Data Mining",0
21,"Data Analysis, Cloud Computing",0
22,"Cybersecurity, Data Visualization, Data Mining, Blockchain, Database Systems, Software Engineering, NLP",0
23,"Big Data, Network Security, Artificial Intelligence, Data Analysis, Reinforcement Learning, Blockchain",0
24,"Optimization, Data Analysis, Software Engineering, Data Visualization, Cybersecurity, NLP, Artificial Intelligence",0
25,"Big Data, Database Systems, Cybersecurity, Business Intelligence, Data Analysis, Data Visualization, Optimization",0
26,"Database Systems, Computer Vision, Cloud Computing, IoT",0
27,"Network Security, Database Systems, Artificial Intelligence",0
28,"Optimization, Deep Learning, Artificial Intelligence, Data Analysis, IoT, Robotics",0
29,"NLP, Machine Learning, Reinforcement Learning, Data Mining",0
30,"Deep Learning, Data Mining",0
31,"Cloud Computing, Reinforcement Learning, Deep Learning, Cybersecurity, Big Data, Network Security",0
32,"Data Visualization, Computer Vision, Network Security, Business Intelligence, Software Engineering, Database Systems",0
33,"IoT, Robotics, Database Systems, Business Intelligence, Data Analysis, Deep Learning, Network Security",0
34,"Optimization, Artificial Intelligence",0
35,"Network Security, NLP, Business Intelligence, Artificial Intelligence, Data Mining, IoT",0
36,"Machine Learning, NLP, Data Mining, Reinforcement Learning, Optimization, Database Systems, Big Data",0
37,"Big Data, Deep Learning, Computer Vision",0
38,"Cloud Computing, Business Intelligence, Deep Learning, NLP, Network Security, Blockchain",0
39,"Computer Vision, Data Analysis, Business Intelligence, Data Visualization, IoT",0
40,"Data Visualization, Robotics, Machine Learning, Data Analysis, Network Security",0
41,"Optimization, Data Analysis, NLP, Computer Vision, Database Systems",0
42,"Robotics, Cloud Computing, Data Visualization, Cybersecurity, Big Data, NLP",0
43,"Data Mining, Robotics, Network Security",0
44,"Machine Learning, Network Security",0
45,"Data Mining, NLP",0
46,"Data Visualization, Deep Learning, Business Intelligence",0
47,"Blockchain, Machine Learning, Cybersecurity",0
48,"Artificial Intelligence, Blockchain, Big Data, Robotics, Software Engineering",0
49,"Network Security, Deep Learning, Cloud Computing, Computer Vision, Software Engineering",0
50,"Machine Learning, Business Intelligence, Network Security",0
51,"Optimization, Machine Learning",0
52,"Business Intelligence, Deep Learning",0
53,"Database Systems, Cybersecurity, Machine Learning, Reinforcement Learning, Data Mining, Data Visualization",0
54,"Data Mining, Reinforcement Learning, NLP",0
55,"Data Analysis, Business Intelligence, NLP, Machine Learning, Data Mining",0
56,"Business Intelligence, Reinforcement Learning, Database Systems, Optimization, Big Data",0
57,"Optimization, NLP, Big Data",0
58,"Cloud Computing, Software Engineering, Robotics, Optimization, Data Mining",0
59,"Robotics, Business Intelligence",0
60,"Data Mining, Network Security",0
61,"Database Systems, Big Data, Cloud Computing",0
62,"Data Mining, NLP, IoT, Software Engineering",0
63,"Robotics, Network Security, Software Engineering",0
64,"Database Systems, Artificial Intelligence, Network Security, Software Engineering, Data Analysis, Robotics",0
65,"Big Data, Data Analysis, Business Intelligence",0
66,"Network Security, Cloud Computing, Big Data, Software Engineering, Computer Vision, IoT, Cybersecurity",0
67,"Big Data, Database Systems, Deep Learning",0
68,"Machine Learning, Data Mining, Data Visualization, Big Data",0
69,"Artificial Intelligence, Optimization",0
70,"Big Data, Cybersecurity, Robotics",0
71,"Data Visualization, Network Security, Artificial Intelligence, Data Analysis, Data Mining, Robotics",0
72,"Cloud Computing, Network Security, Machine Learning, IoT, Reinforcement Learning, Computer Vision, Data Mining",0
73,"Software Engineering, IoT",0
74,"IoT, Computer Vision",0
75,"NLP, Data Analysis, IoT, Data Visualization, Cloud Computing, Robotics, Business Intelligence",0
76,"Cybersecurity, Data Visualization, Artificial Intelligence",0
77,"Optimization, Data Visualization, NLP",0
78,"Cybersecurity, Data Analysis, Blockchain, Machine Learning",0
79,"NLP, Computer Vision, Robotics, IoT, Software Engineering",0
80,"NLP, Artificial Intelligence, Computer Vision",0
81,"Optimization, Big Data, Data Mining, Business Intelligence, IoT",0
82,"Database Systems, Blockchain, Network Security, Optimization, Artificial Intelligence, Machine Learning, Cloud Computing",0
83,"Business Intelligence, Big Data, Machine Learning",0
84,"Reinforcement Learning, Data Visualization",0
85,"Optimization, Data Visualization, Database Systems, Data Analysis",0
86,"Business Intelligence, Computer Vision, Big Data, Machine Learning, Data Visualization",0
87,"Database Systems, Network Security",0
88,"Computer Vision, IoT, Data Visualization, Data Mining, Optimization, Software Engineering, Cybersecurity",0
89,"Data Analysis, Software Engineering, Database Systems, Business Intelligence, Data Visualization, Cybersecurity, Computer Vision",0
90,"Software Engineering, Network Security, Cloud Computing, Computer Vision, Data Visualization, Optimization, Database Systems",0
91,"Cybersecurity, Business Intelligence, Software Engineering, Blockchain, Artificial Intelligence, Cloud Computing, Robotics",0
92,"Data Visualization, Business Intelligence, Optimization",0
93,"Robotics, Reinforcement Learning, Computer Vision, Database Systems, Deep Learning",0
94,"Cybersecurity, Data Mining, Software Engineering, Database Systems, Optimization, Machine Learning, Data Visualization",0
95,"Software Engineering, NLP, Computer Vision",0
96,"Artificial Intelligence, Machine Learning, NLP",0
97,"Reinforcement Learning, Data Mining, Robotics, Data Visualization, Computer Vision",0
98,"Blockchain, Deep Learning, Reinforcement Learning, NLP, Cloud Computing, Optimization, IoT",0
99,"Data Analysis, Data Visualization",0
100,"Cybersecurity, Database Systems, Robotics",0
101,"Network Security, NLP",0
102,"Robotics, Cloud Computing",0
103,"Database Systems, Network Security, Optimization, Robotics, Data Visualization",0
104,"Robotics, Cybersecurity, Deep Learning, Reinforcement Learning, Big Data, Blockchain",0
105,"Big Data, Database Systems, Deep Learning",0
106,"NLP, Big Data, Robotics, Data Mining, Software Engineering, Data Analysis, Cloud Computing",0
107,"Optimization, Network Security, Data Mining, Cloud Computing",0
108,"NLP, Blockchain, Cloud Computing",0
109,"Computer Vision, Data Mining, Data Visualization, Network Security, Optimization, Big Data, NLP",0
110,"Machine Learning, Computer Vision, Data Visualization, Blockchain, Artificial Intelligence",0
111,"Blockchain, Deep Learning, Artificial Intelligence, IoT, Software Engineering, Reinforcement Learning",0
112,"Data Visualization, Network Security, Business Intelligence, NLP, Deep Learning",0
113,"Big Data, Data Visualization, Deep Learning",0
114,"Blockchain, Optimization",0
