expert_id,skills,current_workload
1,"NLP, Machine Learning, Network Security, Deep Learning, Statistical Modeling, Cloud Computing, Distributed Systems",0
2,"Statistical Modeling, Cybersecurity",0
3,"Time Series Analysis, Data Mining, Machine Learning, Cybersecurity, Computer Vision, NLP",0
4,"Machine Learning, Blockchain, MLOps, Robotics, API Development, Business Intelligence",0
5,"Artificial Intelligence, Optimization, Time Series Analysis, ETL Pipelines",0
6,"Software Engineering, Data Visualization, ETL Pipelines, Computer Vision",0
7,"DevOps, Computer Vision",0
8,"Data Warehousing, Database Systems, Data Mining, Quantum Computing",0
9,"NLP, DevOps, Cybersecurity, Business Intelligence, MLOps, Predictive Modeling",0
10,"Distributed Systems, Blockchain, Cloud Computing, Data Mining, ETL Pipelines, NLP",0
11,"Cybersecurity, Robotics, Computer Vision, DevOps",0
12,"Quantum Computing, Distributed Systems, Optimization, Data Warehousing",0
13,"Network Security, Cloud Computing, Optimization",0
14,"Deep Learning, Optimization, Quantum Computing, DevOps, Big Data, Systems Design",0
15,"Robotics, Predictive Modeling, Data Analysis, Statistical Modeling, MLOps, Machine Learning, Edge Computing",0
16,"Edge Computing, Network Security, Cloud Computing, Data Visualization",0
17,"Predictive Modeling, Data Visualization, API Development, Edge Computing, Generative AI, Quantum Computing",0
18,"Quantum Computing, Software Engineering, Database Systems, Big Data, NLP, Distributed Systems, Network Security",0
19,"Database Systems, Time Series Analysis, Edge Computing, Distributed Systems, NLP, Cloud Computing",0
20,"API Development, Cybersecurity, Data Analysis, NLP, Cloud Computing, Predictive Modeling",0
21,"Time Series Analysis, Cloud Computing, DevOps",0
22,"Quantum Computing, Algorithm Engineering, Database Systems, Artificial Intelligence, NLP",0
23,"Statistical Modeling, Network Security, ETL Pipelines, NLP, Software Engineering, Data Visualization, Cybersecurity",0
24,"Artificial Intelligence, Database Systems, Systems Design, IoT, Computer Vision",0
25,"Reinforcement Learning, Systems Design, Blockchain, Software Engineering, IoT, DevOps, Cybersecurity",0
26,"Algorithm Engineering, Artificial Intelligence, Predictive Modeling, API Development, Statistical Modeling, Data Analysis",0
27,"Reinforcement Learning, Deep Learning, Data Analysis, Cybersecurity",0
28,"API Development, Cloud Computing",0
29,"Big Data, Statistical Modeling, Embedded Systems, Optimization, Algorithm Engineering, Database Systems",0
30,"Time Series Analysis, Data Visualization, Blockchain, Reinforcement Learning, Systems Design, ETL Pipelines",0
31,"Distributed Systems, Generative AI, Algorithm Engineering, NLP, API Development, Embedded Systems, Data Mining",0
32,"Machine Learning, Robotics, Artificial Intelligence, Cloud Computing",0
33,"Data Analysis, Robotics, Cloud Computing, Data Mining, Time Series Analysis, Optimization, API Development",0
34,"Deep Learning, Network Security, API Development, Data Visualization, Algorithm Engineering, Cloud Computing",0
35,"Embedded Systems, Deep Learning, Statistical Modeling, MLOps, Computer Vision, Data Analysis, Quantum Computing",0
36,"Time Series Analysis, Data Warehousing, Statistical Modeling, MLOps, Robotics, Systems Design, Distributed Systems",0
37,"Computer Vision, Data Analysis",0
38,"ETL Pipelines, Computer Vision, Deep Learning, Blockchain, Statistical Modeling",0
39,"Big Data, Time Series Analysis, IoT, Network Security, Quantum Computing",0
40,"Cloud Computing, Generative AI, Computer Vision",0
41,"Statistical Modeling, Artificial Intelligence",0
42,"Deep Learning, Optimization",0
43,"API Development, Embedded Systems, Data Visualization, Edge Computing, Data Analysis",0
44,"DevOps, Artificial Intelligence, Database Systems",0
45,"Business Intelligence, Time Series Analysis, API Development, Software Engineering, Blockchain",0
46,"Data Visualization, Data Analysis, Statistical Modeling, Predictive Modeling",0
47,"Data Analysis, Embedded Systems",0
48,"Algorithm Engineering, Optimization, Data Analysis, Cybersecurity, Time Series Analysis, API Development",0
49,"Cloud Computing, Deep Learning",0
50,"NLP, Deep Learning, Data Mining, Cybersecurity, MLOps",0
51,"Algorithm Engineering, Predictive Modeling, Database Systems, Data Visualization, ETL Pipelines, Data Warehousing, Optimization",0
52,"Database Systems, Edge Computing, Big Data",0
53,"Reinforcement Learning, Quantum Computing, Predictive Modeling, Cloud Computing, Artificial Intelligence, Robotics, Statistical Modeling",0
54,"Computer Vision, Cloud Computing, Data Visualization, Database Systems, Algorithm Engineering, Quantum Computing",0
55,"Cloud Computing, Deep Learning, Distributed Systems, Business Intelligence",0
56,"Generative AI, Statistical Modeling, Reinforcement Learning",0
57,"Algorithm Engineering, Artificial Intelligence, Reinforcement Learning, Computer Vision, Embedded Systems, Generative AI",0
58,"Database Systems, NLP, Computer Vision",0
59,"Software Engineering, Network Security, Business Intelligence, Data Visualization, Data Warehousing, Optimization, Computer Vision",0
60,"Database Systems, Systems Design, API Development, Statistical Modeling, Generative AI, Quantum Computing, Time Series Analysis",0
61,"Cybersecurity, Time Series Analysis",0
62,"Data Mining, Artificial Intelligence, ETL Pipelines, Big Data",0
63,"Database Systems, Optimization, Generative AI, Time Series Analysis, Network Security, Artificial Intelligence, Data Analysis",0
64,"Software Engineering, Statistical Modeling",0
65,"Distributed Systems, Software Engineering",0
66,"Big Data, Data Mining, Reinforcement Learning, Distributed Systems, Data Warehousing",0
67,"Deep Learning, Computer Vision, Data Warehousing",0
68,"MLOps, Software Engineering, Deep Learning, Optimization, Edge Computing, Embedded Systems",0
69,"MLOps, Machine Learning, IoT",0
70,"ETL Pipelines, MLOps, Deep Learning, Network Security, Cybersecurity, Edge Computing, Data Warehousing",0
71,"DevOps, Data Mining",0
72,"Robotics, Blockchain, Quantum Computing, Data Warehousing, Reinforcement Learning",0
73,"Robotics, Machine Learning, Blockchain",0
74,"ETL Pipelines, Network Security, Cloud Computing, Data Warehousing, Systems Design",0
75,"Statistical Modeling, ETL Pipelines, Machine Learning, NLP, Database Systems",0
76,"Database Systems, Data Mining, Computer Vision",0
77,"Time Series Analysis, Data Warehousing, Predictive Modeling, Statistical Modeling, Reinforcement Learning, Database Systems",0
78,"DevOps, Blockchain",0
79,"Data Mining, Time Series Analysis, Artificial Intelligence, Algorithm Engineering",0
80,"Blockchain, Distributed Systems, Time Series Analysis, Cloud Computing, Embedded Systems, ETL Pipelines",0
81,"Predictive Modeling, NLP, Reinforcement Learning, Systems Design",0
82,"MLOps, Predictive Modeling, Edge Computing, Business Intelligence",0
83,"Big Data, Blockchain, MLOps, DevOps, ETL Pipelines, Distributed Systems",0
84,"Reinforcement Learning, Edge Computing, Artificial Intelligence",0
85,"Business Intelligence, Data Visualization, Time Series Analysis, Predictive Modeling",0
86,"Generative AI, Data Visualization, Systems Design, Embedded Systems, Optimization",0
87,"Cybersecurity, Business Intelligence, Systems Design, ETL Pipelines, Data Mining, MLOps, DevOps",0
88,"Reinforcement Learning, Robotics, Blockchain",0
89,"Machine Learning, Data Mining, Deep Learning",0
90,"Cloud Computing, Quantum Computing, MLOps, Blockchain, DevOps",0
91,"Edge Computing, Deep Learning, Software Engineering, Artificial Intelligence, Computer Vision",0
92,"Robotics, IoT, Algorithm Engineering, Quantum Computing, Data Analysis",0
93,"Deep Learning, NLP, Quantum Computing, Big Data, Edge Computing, Robotics",0
94,"Algorithm Engineering, Predictive Modeling, Generative AI, Time Series Analysis, MLOps, Quantum Computing, Network Security",0
95,"Optimization, Embedded Systems, Generative AI, Database Systems, Deep Learning",0
96,"Network Security, Algorithm Engineering, API Development, Deep Learning, Big Data, Robotics, Data Mining",0
97,"Business Intelligence, Deep Learning, Network Security, ETL Pipelines, Optimization, Generative AI, Systems Design",0
98,"Big Data, Software Engineering",0
99,"DevOps, Software Engineering, Data Visualization",0
100,"MLOps, ETL Pipelines",0
101,"Quantum Computing, MLOps, Data Analysis, Data Visualization, Algorithm Engineering, API Development",0
102,"Machine Learning, DevOps, Embedded Systems, Artificial Intelligence, Data Warehousing",0
103,"DevOps, MLOps, Statistical Modeling, Robotics",0
104,"Robotics, Network Security, Time Series Analysis, API Development, Machine Learning",0
105,"ETL Pipelines, Edge Computing, Optimization, Quantum Computing, Big Data",0
106,"Statistical Modeling, Machine Learning, Edge Computing, Algorithm Engineering, Data Mining, Predictive Modeling",0
107,"Big Data, Quantum Computing, IoT, Data Analysis, Database Systems",0
108,"Predictive Modeling, Data Visualization, Quantum Computing, ETL Pipelines, DevOps",0
109,"MLOps, Database Systems, Cybersecurity, Embedded Systems",0
110,"Statistical Modeling, Data Analysis",0
111,"Robotics, Cloud Computing, Data Mining, Machine Learning",0
112,"Blockchain, Machine Learning, Software Engineering",0
113,"Big Data, Embedded Systems, NLP",0
114,"Data Visualization, Quantum Computing, Database Systems, Distributed Systems, Cybersecurity, Reinforcement Learning",0
115,"NLP, Optimization, Reinforcement Learning, Computer Vision, Business Intelligence, Artificial Intelligence",0
116,"DevOps, Edge Computing, Blockchain, Cloud Computing",0
117,"Deep Learning, Computer Vision, Reinforcement Learning, NLP, Edge Computing, Business Intelligence",0
118,"Data Warehousing, Statistical Modeling",0
119,"Distributed Systems, Cloud Computing, Systems Design, ETL Pipelines, Artificial Intelligence",0
120,"API Development, Computer Vision, Time Series Analysis, Distributed Systems, Quantum Computing",0
121,"Software Engineering, Time Series Analysis, IoT, Network Security, Reinforcement Learning, Edge Computing, API Development",0
122,"Quantum Computing, Time Series Analysis, Network Security, Predictive Modeling, Deep Learning",0
123,"Network Security, Generative AI",0
124,"Quantum Computing, DevOps, ETL Pipelines",0
125,"API Development, Predictive Modeling",0
126,"API Development, Data Visualization, Data Warehousing",0
127,"ETL Pipelines, Network Security, Artificial Intelligence, Algorithm Engineering",0
128,"Cybersecurity, Deep Learning, MLOps",0
129,"Deep Learning, Embedded Systems, API Development, Generative AI, Machine Learning",0
130,"Business Intelligence, Robotics",0
131,"Deep Learning, Reinforcement Learning, Distributed Systems, Embedded Systems, Algorithm Engineering",0
132,"Time Series Analysis, ETL Pipelines, Data Warehousing, Quantum Computing",0
133,"Reinforcement Learning, Database Systems, Robotics, NLP",0
134,"Blockchain, Predictive Modeling, NLP, IoT, Computer Vision, Embedded Systems, Distributed Systems",0
135,"Network Security, Algorithm Engineering, Business Intelligence, Computer Vision, Blockchain",0
136,"Robotics, Distributed Systems, IoT, Reinforcement Learning",0
137,"Statistical Modeling, Big Data",0
138,"Data Mining, Data Analysis, Business Intelligence, Big Data",0
139,"API Development, Computer Vision, Artificial Intelligence, Business Intelligence, Deep Learning, Embedded Systems, Robotics",0
140,"IoT, Data Analysis, Database Systems, Embedded Systems",0
141,"Cloud Computing, Edge Computing",0
142,"Cloud Computing, Data Analysis, Software Engineering, Reinforcement Learning, Cybersecurity",0
143,"NLP, MLOps, Robotics",0
144,"DevOps, Generative AI, Algorithm Engineering, Reinforcement Learning, Time Series Analysis, Business Intelligence",0
145,"Reinforcement Learning, Data Analysis, Computer Vision, Data Visualization, Database Systems",0
